"","r","Freq"
"609","Air Repair Inc. A2M",1
"610","Air Repair Inc. B2",1
"611","Air Repair Inc. B2M",1
"612","Air Repair Inc. R755-A1",1
"613","Air Repair Inc. S",1
"614","Air Repair Inc. SM",1
"615","Air Repair, Inc. W670-16",1
"616","Air Repair, Inc. W670-23",1
"617","Air Repair, Inc. W670-6A",1
"618","Air Repair, Inc. W670-6N",1
"619","Air Repair, Inc. W670-K",1
"620","Air Repair, Inc. W670-M",1
"621","Air Repair, Inc. W670 Series",1
"622","Air Tractor ",2
"623","Air Tractor 301",1
"624","Air Tractor 302",1
"625","Air Tractor 400",1
"626","Air Tractor 400A",1
"627","Air Tractor 401",1
"628","Air Tractor 401A 401B",1
"629","Air Tractor 402",1
"630","Air Tractor 402A",1
"631","Air Tractor 402B",1
"632","Air Tractor 501",1
"633","Air Tractor 502",1
"634","AIR TRACTOR 502",1
"635","Air Tractor 502A",1
"636","AIR TRACTOR 502A",1
"637","AIR TRACTOR 502B",1
"638","Air Tractor 503",1
"639","Air Tractor 503A",1
"640","Air Tractor 802",1
"641","AIR TRACTOR 802",1
"642","Air Tractor 802A",1
"643","AIR TRACTOR 802A",1
"644","Air Tractor AT-300",3
"645","Air Tractor AT-301",3
"646","Air Tractor AT-302",3
"647","Air Tractor AT-400",7
"648","Air Tractor AT-400A",6
"649","Air Tractor AT-401",4
"650","Air Tractor AT-401A",4
"651","Air Tractor AT-401B",4
"652","Air Tractor AT-402",8
"653","Air Tractor AT-402A",7
"654","Air Tractor AT-402B",7
"655","Air Tractor AT-502",5
"656","Air Tractor AT-502A",1
"657","Air Tractor AT-502B",3
"658","Air Tractor AT-503",2
"659","Air Tractor AT-602",4
"660","Air Tractor AT-802",3
"661","AIR TRACTOR AT-802",1
"662","Air Tractor AT-802A",3
"663","Air Tractor AT300",1
"664","Air Tractor, Inc. AT-400",1
"665","Air Tractor, Inc. AT-400A",1
"666","Air Tractor, Inc. AT-401",1
"667","Air Tractor, Inc. AT-401A",1
"668","Air Tractor, Inc. AT-401B",1
"669","Air Tractor, Inc. AT-402",2
"670","Air Tractor, Inc. AT-402A",2
